Id,Math,AdvancedMath,Physics,Chemistry,Biology,English,Indonesian,Accepted
435,83.9,69.6,71.6,46.1,62.8,62.9,61.2,1
436,60.9,73.8,66.7,87.5,53.5,39.1,79.3,1
437,62.0,47.7,61.4,64.5,53.2,50.8,67.5,1
438,54.0,63.7,23.7,48.7,69.6,89.1,75.0,0
439,60.2,79.1,49.3,55.5,78.9,67.2,71.2,0
440,76.4,78.0,84.8,53.8,64.3,63.0,93.3,1
441,67.2,68.2,58.0,47.2,66.9,91.7,93.8,0
442,74.9,78.3,73.4,66.3,73.4,87.2,74.5,1
443,75.4,72.4,47.1,47.8,53.4,72.3,74.6,0
444,89.8,83.0,89.6,34.5,75.6,68.5,70.3,0
445,64.9,69.3,65.8,59.7,76.7,70.4,85.1,1
446,47.8,59.7,72.4,39.8,99.8,74.7,70.7,0
447,86.0,70.0,100.0,54.5,61.1,91.2,69.8,1
448,65.0,21.0,90.7,52.3,60.0,77.1,83.8,0
449,86.7,70.7,63.4,52.8,76.0,80.7,68.6,0
450,75.8,10.3,59.1,93.0,76.6,86.0,73.6,0
451,68.0,39.1,63.1,65.8,59.0,58.0,58.2,0
452,75.2,71.8,75.6,68.4,60.8,81.1,81.0,1
453,99.3,72.2,66.4,40.1,73.0,68.5,93.4,0
454,100.0,47.6,62.1,55.8,55.2,41.8,81.2,0
455,71.0,54.3,90.0,68.0,60.7,46.5,88.6,1
456,72.4,85.6,66.3,50.7,67.2,59.8,65.5,0
457,86.1,57.7,100.0,77.7,78.9,78.4,76.4,1
458,57.3,98.6,69.4,48.2,58.1,73.4,64.6,0
459,75.0,65.0,94.8,61.0,42.0,74.2,71.7,1
460,69.6,71.1,73.4,56.8,41.1,95.4,81.7,1
461,74.7,89.3,82.4,67.3,49.6,56.8,75.0,1
462,57.5,67.0,57.1,56.0,48.9,71.7,59.9,1
463,46.2,50.0,55.2,61.2,64.0,75.7,60.8,0
464,38.9,63.4,74.9,61.7,50.5,63.2,60.2,0
465,53.2,64.5,82.8,54.7,56.9,72.3,78.9,0
466,63.1,44.5,68.6,71.8,55.9,52.8,94.6,0
467,65.6,61.2,48.7,68.3,60.3,88.9,87.6,1
468,99.1,53.9,47.6,63.8,83.2,63.8,55.0,0
469,86.6,78.9,46.6,59.0,74.6,96.4,88.2,1
470,55.6,65.5,41.5,76.2,66.2,71.6,83.4,0
471,75.2,60.8,69.6,61.7,60.0,84.3,58.5,0
472,63.9,63.4,84.9,60.7,60.4,71.4,71.0,1
473,65.7,68.3,67.8,66.5,70.3,71.6,85.0,1
474,72.8,74.3,34.1,88.8,73.6,65.0,79.5,1
475,79.3,50.0,65.1,46.2,54.2,73.4,60.9,0
476,64.9,49.4,65.6,75.8,66.5,75.8,80.1,0
477,86.0,81.6,99.4,38.5,39.6,62.6,52.6,1
478,52.9,58.8,46.1,68.0,68.8,70.5,71.8,1
479,70.1,43.7,62.1,87.1,75.9,64.7,85.4,0
480,100.0,71.7,93.6,71.8,62.4,99.6,74.2,1
481,73.3,72.0,74.7,67.4,89.6,70.9,69.0,0
482,91.5,42.0,76.4,57.2,54.5,90.5,82.9,0
483,71.4,68.4,69.7,65.4,68.8,69.7,83.7,1
484,78.7,76.0,72.9,61.5,65.5,75.1,87.1,0
485,69.1,70.6,79.7,54.0,64.7,56.1,82.7,0
486,67.4,74.5,55.9,60.9,64.5,66.6,84.8,0
487,58.3,43.9,81.2,67.8,67.4,74.5,81.3,0
488,76.5,70.0,47.4,54.3,77.0,91.0,76.7,1
489,57.2,60.5,72.9,53.7,83.9,74.7,74.9,1
490,80.0,57.8,70.7,46.0,66.0,88.6,71.6,1
491,86.3,78.1,58.8,70.5,76.6,79.7,61.9,1
492,75.5,87.2,67.7,72.6,56.9,91.5,64.4,0
493,65.7,91.9,58.7,68.2,76.0,71.3,71.2,1
494,76.8,84.7,51.9,78.5,56.1,100.0,76.4,0
495,65.4,63.4,62.7,66.2,80.2,66.2,88.4,1
496,84.0,70.3,51.4,70.5,94.7,62.8,73.6,1
497,42.5,76.5,72.8,69.3,64.4,57.5,84.0,0
498,65.0,66.8,50.7,63.7,37.5,100.0,84.8,0
499,40.1,67.0,78.7,57.6,58.9,81.8,71.7,0
500,47.6,77.4,50.3,96.0,82.0,68.0,79.9,0
